GrainWorld,Roads,Parking Row 1,Parking Row 2,Truck Terminal,Truck Loader 1,Truck Loader 2,Truck Silo 1,Truck Silo 2,Truck Silo 3,Truck Silo 4,Truck Silo 5,Truck Silo 6,Truck Silo 7,Truck Silo 8,Truck Shipper 1,Truck Shipper 2,Truck Merger,Train In,Train Out,Train Terminal,Silo Dispatcher,Sub Dispatch 1,Sub Dispatch 2,Loader 1,Loader 2,Loader 3,Loader 4,Silo 1,Silo 2,Silo 3,Silo 4,Silo 5,Silo 6,Silo 7,Silo 8,Silo 9,Silo 10,Silo 11,Silo 12,Silo 13,Silo 14,Silo 15,Silo 16,Shipper 1,Shipper 2,Shipper 3,Shipper 4,Silo Merger,Dock,Boat 1,Boat 2,Hold 1,Hold 2,Hold 3,Hold 4,Hold 5,Hold 6,Hold 7,Hold 8,Hold 9,Hold 10,Outside World
Silo 2,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,12,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 3,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,1,12,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 4,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,0,11,11,11,11,11,11,11,11,11,11,11,11,1,12,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 5,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,11,12,1,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 6,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,12,1,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 7,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,0,11,11,11,11,11,11,11,11,11,12,1,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 8,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,0,11,11,11,11,11,11,11,11,12,1,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 9,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,11,12,12,1,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 10,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,12,12,1,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 11,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,12,12,1,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 12,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,12,12,1,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 13,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,12,12,12,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 14,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,12,12,12,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 15,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,12,12,12,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Silo 16,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,12,12,12,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Shipper 1,5,6,6,7,8,8,9,9,9,9,9,9,9,9,10,10,11,5,7,6,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,11,11,11,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
Shipper 2,5,6,6,7,8,8,9,9,9,9,9,9,9,9,10,10,11,5,7,6,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,11,11,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
Shipper 3,5,6,6,7,8,8,9,9,9,9,9,9,9,9,10,10,11,5,7,6,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,0,11,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
Shipper 4,5,6,6,7,8,8,9,9,9,9,9,9,9,9,10,10,11,5,7,6,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,0,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
Silo Merger,4,5,5,6,7,7,8,8,8,8,8,8,8,8,9,9,10,4,6,5,6,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3
Dock,3,4,4,5,6,6,7,7,7,7,7,7,7,7,8,8,9,3,5,4,5,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,0,1,1,2,2,2,2,2,2,2,2,2,2,2
Boat 1,2,3,3,4,5,5,6,6,6,6,6,6,6,6,7,7,8,2,4,3,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,10,0,2,1,1,1,1,1,3,3,3,3,3,1
Boat 2,2,3,3,4,5,5,6,6,6,6,6,6,6,6,7,7,8,2,4,3,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,10,2,0,3,3,3,3,3,1,1,1,1,1,1
Hold 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hold 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside World,1,2,2,3,4,4,5,5,5,5,5,5,5,5,6,6,7,1,3,2,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,1,1,2,2,2,2,2,2,2,2,2,2,0
